Name,Type,Category,Research Score,.com,.com Checked,.io,.io Checked,.net,.net Checked,.co.uk,.co.uk Checked,.dev,.dev Checked,.app,.app Checked,.org,.org Checked,Status,Rank,Meaning,Vibe,Recommendation
Cipher,cryptographic,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"Code, key to understanding","Mysterious, intellectual, puzzle-like",none
Ideate,,,,,,,,,,,,,,,,,,,19,,,
Beacon,metaphorical,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"Guiding light, signal","Helpful, directional, illuminating",none
Schola,,,,,,,,,,,,,,,,,,,19,,,
Logos,classical,Expanded Round,,❌,2025-11-21T21:24:59.997Z,,,,,,,,,,,,,,20,"Reason, discourse, knowledge","Philosophical, powerful, foundational",none
Omni,,,,,,,,,,,,,,,,,,,20,,,
Axis,mathematical,Expanded Round,,❌,2025-11-21T21:21:03.517Z,,,,,,,,,,,,,,30,"Central line, pivot point","Central, pivotal, mathematical",none
Kore,tech-minimal,Expanded Round,,❌,2025-11-21T21:24:58.188Z,,,,,,,,,,,,,,20,"Core, essence, maiden","Essential, Greek mythology connection",none
Scopus,classical,First Round Non-Compound,,❌,2025-11-21T21:23:15.601Z,,,,,,,,,,,,,,24,"Range of view, comprehensive scope","Scientific, established-sounding",none
Prism,scientific,First Round Non-Compound,,❌,2025-11-21T21:22:05.092Z,,,,,,,,,,,,,,25,"Refracts light, shows multiple perspectives","Visual, analytical, multi-faceted",none
Qube,,,,,,,,,,,,,,,,,,,20,,,
Cognate,single-word,First Round Non-Compound,,,,,,,,,,,,,,,,,18,"Related, connected through origin","Academic term, implies relationships",none
Erudia,invented,First Round Non-Compound,,❌,2025-11-21T21:20:32.078Z,,,,,,,,,,,,,,39,Land of the learned,"Sophisticated, fluid, memorable",low
Studium,lexical,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Focused pursuit of knowledge,"Classical, trustworthy, academic",research-needed
Lumen,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,20,"Light, illumination, enlightenment","Enlightening, clear, positive",none
Docere,classical,First Round Non-Compound,,,,,,,,,,,,,,,,,19,"To teach, to instruct","Educational, Latin elegance, memorable",none
Orbis,classical,Expanded Round,,❌,2025-11-21T21:22:03.778Z,,,,,,,,,,,,,,25,"World, sphere, comprehensive circle","Global, comprehensive, circular knowledge",low
Literate,,,,,,,,,,,,,,,,,,,17,,,
Thoth,mythological,Expanded Round,,,,,,,,,,,,,,,,,20,"Knowledge, writing, wisdom","Ancient wisdom, powerful, authoritative",none
Learnbase,,,,,,,,,,,,,,,,,,,16,,,
Sagax,classical,First Round Non-Compound,,❌,2025-11-21T21:21:06.509Z,,,,,,,,,,,,,,30,"Sharp-minded, perceptive","Smart, punchy, memorable",none
Luminor,invented,New Non-Compound Concepts,,,,,,,,,,,,,,,,,18,Bringer of light or clarity,"Clear, confident, premium",research-needed
Quill,single-word,First Round Non-Compound,,,,,,,,,,,,,,,,,20,"Writing instrument, scholarly tool","Classic, literary, writing-focused",none
Tome,single-word,First Round Non-Compound,,❌,2025-11-21T21:22:48.287Z,,,,,,,,,,,,,,25,Large scholarly book,"Academic, substantial, classic",low
Vero,ultra-short,Expanded Round,,,,,,,,,,,,,,,,,20,"Truth, genuine knowledge","Clean, modern, trustworthy",none
Academix,,,,,,,,,,,,,,,,,,,17,,,
Mica,material,Expanded Round,,,,,,,,,,,,,,,,,20,"Layered knowledge, transparent sheets","Layered, transparent, geological",none
